poverty_tercile,n_countries,total_loans,mean_loans_pc,mean_amt_pc,mean_poverty,mean_fin_access,mean_branches,mean_atms,mean_accounts,mean_credit
High poverty,29,346100,0.0007537012872821321,0.7394476425025395,0.5310689655172414,-0.44371596638064953,7.614382298533334,14.5113661356,378.34474424074074,21.998171049382716
Low poverty,29,545281,0.0007729595199645234,0.9396894908019956,0.15051724137931033,0.7798604447867394,24.269586880357142,79.3618474314815,947.1419216666667,73.05354320987654
Medium poverty,28,497125,0.0015547049702584934,1.5145168877190014,0.2877142857142857,-0.14715489038522192,9.858916429933334,31.094280726666668,636.7196215,34.365605333333335
