iso3,year,gdp_pc_const2015,population
BRB,2013,20521.1209928514,277665.0
BRB,2014,20636.0327188055,278348.0
BRB,2015,20429.4747123553,278990.0
BRB,2016,20673.7682337375,279598.0
BRB,2017,20766.5518491129,280171.0
BRN,2013,32381.0739795231,411202.0
BRN,2014,31148.7297405401,416750.0
BRN,2015,30625.1287744656,422212.0
BRN,2016,29492.4145927789,427564.0
BRN,2017,29524.65912789,432772.0
BTN,2013,2671.07460201171,725273.0
BTN,2014,2797.81883971908,733139.0
BTN,2015,2954.04081911097,740618.0
BTN,2016,3173.36773217431,747866.0
BTN,2017,3211.80903275593,754335.0
BWA,2013,6284.97678002618,2140682.0
BWA,2014,6547.12254115892,2172044.0
BWA,2015,6141.20394726616,2203273.0
BWA,2016,6490.83463593483,2234776.0
BWA,2017,6662.57644805467,2266747.0
CAF,2013,349.821171688973,4642419.0
CAF,2014,351.561554911625,4623182.0
CAF,2015,366.322853938121,4629320.0
CAF,2016,376.858254120398,4713663.0
CAF,2017,387.35795131742,4793511.0
CAN,2013,,35080992.0
CAN,2014,,35434066.0
CAN,2015,,35704498.0
CAN,2016,,36110803.0
CAN,2017,,36545075.0
CHE,2013,83914.0245080812,8089346.0
CHE,2014,85004.8134534,8188649.0
CHE,2015,85265.06205193,8282396.0
CHE,2016,85951.2234148345,8373338.0
CHE,2017,86362.360972862,8451840.0
CHI,2013,60780.669022098,161777.0
CHI,2014,61892.8083445708,162726.0
CHI,2015,61847.8212238857,163454.0
CHI,2016,62434.1859444218,163883.0
CHI,2017,63393.3938698644,164319.0
CHL,2013,13182.7329619856,17687006.0
CHL,2014,13285.9540361192,17864195.0
CHL,2015,13433.9202987032,18047625.0
CHL,2016,13505.097711133,18267221.0
CHL,2017,13473.3458532934,18558868.0
CHN,2013,7197.937319496,1363240000.0
CHN,2014,7686.37369520403,1371860000.0
CHN,2015,8175.33285077393,1379860000.0
CHN,2016,8679.22528805041,1387790000.0
CHN,2017,9221.35045639842,1396215000.0
CIV,2013,1632.32712787006,23939775.0
CIV,2014,1742.53693001178,24527395.0
CIV,2015,1814.71855088017,25246342.0
CIV,2016,1889.27777949938,25989405.0
CIV,2017,1972.81431788947,26733372.0
CMR,2013,1347.2130636706,21402376.0
CMR,2014,1381.81938454907,22059893.0
CMR,2015,1415.00009710569,22763414.0
CMR,2016,1435.61830727839,23454161.0
CMR,2017,1444.90682916573,24128601.0
COD,2013,464.526715460494,75789395.0
COD,2014,481.830241883776,78403242.0
COD,2015,495.826633014883,81035531.0
COD,2016,480.461377880475,83956415.0
COD,2017,482.854682128541,87083398.0
COG,2013,2390.65754938662,4857099.0
COG,2014,2488.68118548992,4975880.0
COG,2015,2439.35189403696,5097581.0
COG,2016,2174.19310251224,5222536.0
COG,2017,2003.27121075187,5351011.0
COL,2013,5910.80592301166,46151584.0
COL,2014,6121.83982019825,46565429.0
COL,2015,6248.51490534512,46969940.0
COL,2016,6316.07067782542,47437512.0
COL,2017,6309.67745292518,48131078.0
COM,2013,1343.54683280656,696192.0
COM,2014,1342.3295858321,711503.0
COM,2015,1329.37048235986,726682.0
COM,2016,1345.6261652831,741741.0
COM,2017,1369.41180275963,756669.0
CPV,2013,3361.09387702205,512225.0
CPV,2014,3383.8422809791,512326.0
CPV,2015,3415.06266730931,512394.0
CPV,2016,3560.1400729534,512554.0
CPV,2017,3719.71306047915,512893.0
CRI,2013,11151.1437937744,4716147.0
CRI,2014,11422.6735972442,4767119.0
CRI,2015,11714.7106121672,4818038.0
CRI,2016,12084.4351419988,4866998.0
CRI,2017,12468.5654849336,4913177.0
CUB,2013,7307.82004410741,11298167.0
CUB,2014,7392.48324633027,11285775.0
CUB,2015,7727.91997207998,11275065.0
CUB,2016,7774.0698462623,11265612.0
CUB,2017,7927.27769431767,11247829.0
CUW,2013,,153822.0
CUW,2014,,155909.0
CUW,2015,,157980.0
CUW,2016,,159664.0
CUW,2017,,160175.0
CYM,2013,76038.879554035,58655.0
CYM,2014,76104.6215727416,60160.0
CYM,2015,76379.2095108681,61642.0
CYM,2016,77031.8643873625,63100.0
CYM,2017,77717.1752058822,64535.0
CYP,2013,22711.708984375,1183895.0
CYP,2014,22373.56640625,1201801.0
CYP,2015,23088.4296875,1219502.0
CYP,2016,24477.974609375,1237112.0
CYP,2017,25665.990234375,1254275.0
CZE,2013,16759.7808635642,10514272.0
CZE,2014,17118.0425571578,10525347.0
CZE,2015,17931.5987670768,10546059.0
CZE,2016,18359.0978103904,10566332.0
CZE,2017,19257.6930680911,10594438.0
DEU,2013,40884.8926759028,80645605.0
DEU,2014,41602.4661281668,80982500.0
DEU,2015,41929.7549110722,81686611.0
DEU,2016,42516.9337063103,82348669.0
DEU,2017,43543.4807050551,82657002.0
DJI,2013,2140.13769442336,984824.0
DJI,2014,2253.14082249768,1002717.0
DJI,2015,2376.12554719873,1020313.0
DJI,2016,2502.85181449431,1037653.0
DJI,2017,2596.45134698268,1054841.0
DMA,2013,8459.6586988024,69715.0
DMA,2014,8576.26367623609,70373.0
DMA,2015,8282.59874702141,70410.0
DMA,2016,8499.52291903149,69606.0
DMA,2017,7985.6341102129,68496.0
DNK,2013,51970.3909324806,5614932.0
DNK,2014,52368.3625969272,5643475.0
DNK,2015,53094.0133607574,5683483.0
DNK,2016,54300.2039621991,5728010.0
DNK,2017,55601.0145717787,5764980.0
DOM,2013,6075.03399972737,10193833.0
DOM,2014,6430.27811051339,10315528.0
DOM,2015,6800.95309395474,10434829.0
DOM,2016,7177.75376475488,10551430.0
DOM,2017,7379.39978067137,10666843.0
DZA,2013,4543.23444006767,38414171.0
DZA,2014,4634.10149179952,39205031.0
DZA,2015,4685.05902729002,40019529.0
DZA,2016,4768.73140081027,40850721.0
DZA,2017,4742.90075532529,41689299.0
ECU,2013,5893.32172683036,15807128.0
ECU,2014,6055.04172761485,16035124.0
ECU,2015,5976.1596805651,16266225.0
ECU,2016,5849.13587933672,16505139.0
ECU,2017,6104.27253521751,16759519.0
EGY,2013,3216.37839024454,95333553.0
EGY,2014,3235.66246235519,97528654.0
EGY,2015,3306.98159414141,99597342.0
EGY,2016,3381.22246307712,101644589.0
EGY,2017,3452.90961245976,103696057.0
ERI,2013,,3074360.0
ERI,2014,,3095173.0
ERI,2015,,3105546.0
ERI,2016,,3124698.0
ERI,2017,,3150347.0
ESP,2013,24498.5559507945,46604197.0
ESP,2014,24947.8512505913,46460733.0
ESP,2015,25982.4416197775,46422303.0
ESP,2016,26719.2442268615,46458139.0
ESP,2017,27426.281015093,46571232.0
EST,2013,16809.5326683781,1317997.0
EST,2014,17413.6867560212,1314545.0
EST,2015,17722.1557669523,1315407.0
EST,2016,18264.9873304279,1315790.0
EST,2017,19270.8141210511,1317384.0
ETH,2013,518.324662208106,
ETH,2014,556.362532243867,
ETH,2015,597.912113218663,
ETH,2016,636.835680951429,
ETH,2017,678.98541915757,
FIN,2013,42883.6384986417,5438972.0
FIN,2014,42502.4880199858,5461512.0
FIN,2015,42560.3456767103,5479531.0
FIN,2016,43529.6761616969,5495303.0
FIN,2017,44862.220404205,5508214.0
FJI,2013,4630.3512738488,916352.0
FJI,2014,4883.24299340799,917585.0
FJI,2015,5097.53106864695,918578.0
FJI,2016,5218.85824573477,919166.0
FJI,2017,5500.67840280072,918759.0
FRA,2013,36256.086680981,65997932.0
FRA,2014,36444.3949089146,66312067.0
FRA,2015,36702.4323733379,66548272.0
FRA,2016,36920.5342846914,66724104.0
FRA,2017,37580.5979329356,66918020.0
FRO,2013,50121.7919684574,48245.0
FRO,2014,52645.8769957728,48427.0
FRO,2015,52638.2668218454,48898.0
FRO,2016,52758.462646154,49463.0
FRO,2017,53832.1022752798,50179.0
FSM,2013,2837.15746729135,108121.0
FSM,2014,2757.39654878889,108396.0
FSM,2015,2869.86276169101,108716.0
FSM,2016,2896.47282245468,109075.0
FSM,2017,2945.60147384462,109481.0
GAB,2013,6938.25753862236,1913059.0
GAB,2014,6998.60545439576,1978399.0
GAB,2015,7047.12654634355,2040989.0
GAB,2016,6991.3251446736,2100306.0
GAB,2017,6840.05959347802,2156900.0
GBR,2013,43585.8731772281,64138000.0
GBR,2014,44628.5724578217,64619000.0
GBR,2015,45256.040227057,65087000.0
GBR,2016,45888.7099614563,65606000.0
GBR,2017,47019.4510419999,65964000.0
GEO,2013,3806.50600649051,3717668.0
GEO,2014,3960.35080091901,3719414.0
GEO,2015,4086.6223465965,3725276.0
GEO,2016,4225.09154904806,3727505.0
GEO,2017,4442.50744127374,3728004.0
GHA,2013,1718.59704769958,27386193.0
GHA,2014,1726.36930134647,28041592.0
GHA,2015,1722.77282833606,28696068.0
GHA,2016,1740.81101902928,29356742.0
GHA,2017,1841.44636153249,30008354.0
GIB,2013,,32407.0
GIB,2014,,32813.0
GIB,2015,,33193.0
GIB,2016,,33658.0
GIB,2017,,34245.0
GIN,2013,729.833143236326,11191873.0
GIN,2014,738.272274481308,11472924.0
GIN,2015,747.356966759448,11767070.0
GIN,2016,807.236421043888,12073030.0
GIN,2017,867.907502577607,12385659.0
GMB,2013,638.522368532214,2103820.0
GMB,2014,611.879472952196,2164528.0
GMB,2015,619.536364296461,2224529.0
GMB,2016,615.193365494386,2283769.0
GMB,2017,628.777299272925,2342189.0
GNB,2013,634.095456089352,1695973.0
GNB,2014,623.610159103365,1741122.0
GNB,2015,645.066837207039,1786457.0
GNB,2016,663.242608032005,1831893.0
GNB,2017,677.466131311367,1877072.0
GNQ,2013,10731.6455729191,1346218.0
GNQ,2014,10363.4872473549,1399828.0
GNQ,2015,9068.91003238645,1453923.0
GNQ,2016,7971.83401904573,1508186.0
GNQ,2017,7259.10936454803,1562396.0
GRC,2013,17644.8766635021,10965211.0
GRC,2014,17903.5252440012,10892413.0
GRC,2015,17980.7298238137,10820883.0
GRC,2016,18049.928997892,10775971.0
GRC,2017,18352.0884461258,10754679.0
GRD,2013,7688.75297701343,113487.0
GRD,2014,8206.62862112333,114132.0
GRD,2015,8694.12438005692,114676.0
GRD,2016,8983.68397337899,115130.0
GRD,2017,9357.40728883583,115438.0
GRL,2013,43338.3839246907,56483.0
GRL,2014,45545.1429414917,56295.0
GRL,2015,44536.3549705377,56114.0
GRL,2016,46561.7831434013,56186.0
GRL,2017,46597.9452470348,56172.0
GTM,2013,3717.30457960279,15387337.0
GTM,2014,3809.61584332802,15681725.0
GTM,2015,3893.50533299068,15971743.0
GTM,2016,3924.7789643024,16268760.0
GTM,2017,3972.74059262672,16567357.0
GUM,2013,34044.3190415455,165966.0
GUM,2014,34755.2691107298,165486.0
GUM,2015,35165.7014644795,164905.0
GUM,2016,35373.8483143417,164233.0
GUM,2017,35850.9025520506,163490.0
GUY,2013,5573.3421790463,750021.0
GUY,2014,5635.71704117947,754229.0
GUY,2015,5640.41560569466,758781.0
GUY,2016,5818.61682204646,763548.0
GUY,2017,5997.18271426826,768479.0
HKG,2013,40959.9776349249,7178900.0
HKG,2014,41796.8593150091,7229500.0
HKG,2015,42432.1619740441,7291300.0
HKG,2016,43087.5537128127,7336600.0
HKG,2017,44380.8176753147,7393200.0
HND,2013,2205.40126728067,8889278.0
HND,2014,2229.24772232218,9063122.0
HND,2015,2271.20265980349,9237305.0
HND,2016,2315.72983058198,9412380.0
HND,2017,2383.37398439714,9588137.0
HRV,2013,11838.4554388595,4233922.0
HRV,2014,11862.7815706266,4201598.0
HRV,2015,12283.8750299177,4151725.0
HRV,2016,12848.473748279,4106867.0
HRV,2017,13485.3711360576,4041407.0
HTI,2013,1392.38204736859,10222362.0
HTI,2014,1411.76834802154,10373235.0
HTI,2015,1411.12684746796,10523242.0
HTI,2016,1416.74881879698,10671457.0
HTI,2017,1432.67228609541,10817754.0
HUN,2013,11729.5720798501,9872734.0
HUN,2014,12287.3779441033,9833038.0
HUN,2015,12782.9412577973,9797755.0
HUN,2016,13145.6559885563,9759755.0
HUN,2017,13734.2442804335,9726756.0
IDN,2013,3055.24246006469,255852467.0
IDN,2014,3170.72103011429,258877399.0
IDN,2015,3288.22269725538,261799249.0
IDN,2016,3416.81005170972,264627418.0
IDN,2017,3553.51999262321,267346658.0
IMN,2013,80383.8273088527,
IMN,2014,84778.5806639347,
IMN,2015,84753.5187422732,
IMN,2016,90783.7647245394,
IMN,2017,93200.3108083857,
IND,2013,1399.4537980281,1295829511.0
IND,2014,1484.31640682961,1312277191.0
IND,2015,1583.99815907985,1328024498.0
IND,2016,1694.46534973787,1343944296.0
IND,2017,1788.69770318481,1359657400.0
IRL,2013,47928.0346487005,4623816.0
IRL,2014,52044.6201181887,4657740.0
IRL,2015,64250.1385181257,4701957.0
IRL,2016,64205.979777351,4762722.0
IRL,2017,69748.6221034014,4827445.0
IRN,2013,4916.97291948475,80414686.0
IRN,2014,5093.20319702187,81502045.0
IRN,2015,4952.73355532178,82619362.0
IRN,2016,5312.61724954192,83812228.0
IRN,2017,5395.2398398598,85026754.0
IRQ,2013,4504.82687537354,35281989.0
IRQ,2014,4446.97343234862,36550059.0
IRQ,2015,4440.14189252367,37560535.0
IRQ,2016,4932.9272911439,38469627.0
IRQ,2017,4736.32710809857,39337353.0
ISL,2013,51696.0876507326,323764.0
ISL,2014,52102.575810195,327386.0
ISL,2015,53505.6964079339,330815.0
ISL,2016,56049.2928672039,335439.0
ISL,2017,56657.9800322797,343400.0
ISR,2013,,8059500.0
ISR,2014,,8215700.0
ISR,2015,,8380100.0
ISR,2016,,8546000.0
ISR,2017,,8713300.0
ITA,2013,30330.0221599668,60311613.0
ITA,2014,30325.0287793923,60320707.0
ITA,2015,30639.8829751432,60229605.0
ITA,2016,31077.6792675211,60115223.0
ITA,2017,31635.52277108,60002252.0
JAM,2013,5289.88438546111,2783687.0
JAM,2014,5307.19165380801,2793749.0
JAM,2015,5339.30718256806,2802534.0
JAM,2016,5472.28314023034,2809915.0
JAM,2017,5586.1365723133,2815764.0
JOR,2013,5007.76162067161,7991809.0
JOR,2014,4703.39944986815,8791710.0
JOR,2015,4441.61896013754,9544729.0
JOR,2016,4326.17261571505,10006367.0
JOR,2017,4335.92512689541,10234226.0
JPN,2013,34636.6924746166,127445000.0
JPN,2014,34996.8796756631,127276000.0
JPN,2015,35664.6446110613,127141000.0
JPN,2016,35934.4467886662,127076000.0
JPN,2017,36547.7357437305,126972000.0
KAZ,2013,9959.72586930534,17556502.0
KAZ,2014,10226.7100539683,17816285.0
KAZ,2015,10196.1226255982,18084169.0
KAZ,2016,10151.423313302,18363600.0
KAZ,2017,10404.2718646317,18651931.0
KEN,2013,1413.94142522583,44986791.0
KEN,2014,1450.59338202277,46051440.0
KEN,2015,1489.11959777284,47088526.0
KEN,2016,1517.97796057742,48139687.0
KEN,2017,1542.33773973372,49197766.0
KGZ,2013,1069.78404438716,5777150.0
KGZ,2014,1088.58214229508,5905848.0
KGZ,2015,1105.65193844261,6040036.0
KGZ,2016,1128.3161612818,6175338.0
KGZ,2017,1157.18275758067,6306696.0
KHM,2013,1376.29557595926,15170208.0
KHM,2014,1464.53115866927,15396772.0
KHM,2015,1547.32010444393,15623251.0
KHM,2016,1645.46671578126,15852803.0
KHM,2017,1753.93530504662,16073372.0
KIR,2013,1493.49148676402,113838.0
KIR,2014,1492.8508200481,115326.0
KIR,2015,1639.85274740652,116815.0
KIR,2016,1731.43702001694,118478.0
KIR,2017,1768.87874841933,120275.0
KNA,2013,18773.8926898397,47069.0
KNA,2014,20187.8061975481,47089.0
KNA,2015,20328.8003530109,47087.0
KNA,2016,21133.6575914414,47075.0
KNA,2017,21191.6047083703,47050.0
KOR,2013,28732.711152033,50428893.0
KOR,2014,29470.6732991655,50746659.0
KOR,2015,30171.7906545222,51014947.0
KOR,2016,31005.4072876388,51217803.0
KOR,2017,31979.9027302467,51361911.0
KWT,2013,32311.1800008536,3507844.0
KWT,2014,31073.1537300624,3665876.0
KWT,2015,29882.2126495698,3834574.0
KWT,2016,29454.4426388829,4004096.0
KWT,2017,27048.3706935958,4154812.0
LAO,2013,1890.27861294875,6611385.0
LAO,2014,2006.31195444447,6703172.0
LAO,2015,2121.01339097363,6801645.0
LAO,2016,2234.76098741846,6908802.0
LAO,2017,2351.57441747595,7018147.0
LBN,2013,8443.53856528784,5743436.0
LBN,2014,7830.4151113336,6346990.0
LBN,2015,7714.1099998804,6472469.0
LBN,2016,8019.1416913426,6323060.0
LBN,2017,8305.57405425721,6160128.0
LBR,2013,717.007280358975,4470239.0
LBR,2014,707.157694930142,4564293.0
LBR,2015,692.590082351257,4659431.0
LBR,2016,668.031513175601,4755608.0
LBR,2017,671.260899835355,4848925.0
LBY,2013,10126.314927806,6304628.0
LBY,2014,7644.24843947404,6427252.0
LBY,2015,7458.48917756374,6531819.0
LBY,2016,7236.16409923502,6632126.0
LBY,2017,9435.60060040046,6738770.0
LCA,2013,,173369.0
LCA,2014,,174138.0
LCA,2015,,174905.0
LCA,2016,,175646.0
LCA,2017,,176342.0
LIE,2013,,36984.0
LIE,2014,,37248.0
LIE,2015,167187.15730982,37494.0
LIE,2016,,37716.0
LIE,2017,,37962.0
LKA,2013,3728.93585962083,20585000.0
LKA,2014,3929.92061307909,20778000.0
LKA,2015,4057.71582716521,20970000.0
LKA,2016,4214.74117217382,21209000.0
LKA,2017,4436.00789131029,21453000.0
LSO,2013,1093.95323489272,2056504.0
LSO,2014,1100.04993684215,2080089.0
LSO,2015,1121.19851342518,2104611.0
LSO,2016,1147.58748801671,2130422.0
LSO,2017,1097.82166812752,2157110.0
LTU,2013,13145.8069309969,2961250.0
LTU,2014,13753.1895982305,2937253.0
LTU,2015,14269.8039878287,2911109.0
LTU,2016,14823.107153522,2877325.0
LTU,2017,15695.9993288456,2842639.0
LUX,2013,105340.41498623,543360.0
LUX,2014,105585.401767492,556319.0
LUX,2015,105462.012584423,569604.0
LUX,2016,108351.452194449,582014.0
LUX,2017,107142.05542835,596336.0
LVA,2013,12353.5386135301,2012647.0
LVA,2014,12731.6771959342,1993782.0
LVA,2015,13321.9753140616,1977527.0
LVA,2016,13787.3367440023,1959537.0
LVA,2017,14382.8612727134,1942248.0
MAC,2013,99054.4980289716,591900.0
MAC,2014,92383.8434915276,621700.0
MAC,2015,69902.9605741233,642900.0
MAC,2016,68391.3415491921,652500.0
MAC,2017,75650.1261840452,648400.0
MAF,2013,,37419.0
MAF,2014,,37450.0
MAF,2015,,37369.0
MAF,2016,,37175.0
MAF,2017,,36837.0
MAR,2013,3008.185546875,33787571.0
MAR,2014,3051.458984375,34204780.0
MAR,2015,3146.24780273438,34607588.0
MAR,2016,3124.42504882813,35023457.0
MAR,2017,3242.64428710938,35446392.0
MCO,2013,157167.901201149,35447.0
MCO,2014,165288.122704322,36128.0
MCO,2015,170437.021128628,36757.0
MCO,2016,173120.108465128,37276.0
MCO,2017,165781.701248644,37678.0
MDA,2013,2605.85029986142,2859558.0
MDA,2014,2737.80185056647,2857815.0
MDA,2015,2749.55137054338,2835978.0
MDA,2016,2910.95486872376,2803186.0
MDA,2017,3085.33305844263,2755189.0
MDG,2013,440.674658903628,24109290.0
MDG,2014,443.343869908205,24764348.0
MDG,2015,445.320069480568,25426702.0
MDG,2016,451.15659433146,26099952.0
MDG,2017,456.851859574031,26788375.0
MDV,2013,9213.32791442475,400070.0
MDV,2014,9612.07861806739,413617.0
MDV,2015,9644.90655028145,428154.0
MDV,2016,9909.07669723415,443308.0
MDV,2017,10263.2991147672,458287.0
MEX,2013,9738.71059661101,118343573.0
MEX,2014,9862.4812534745,119784261.0
MEX,2015,10021.2386113616,121072306.0
MEX,2016,10100.5021195819,122251351.0
MEX,2017,10193.7727188313,123400057.0
MHL,2013,3602.92811901896,50681.0
MHL,2014,3620.77275283155,49796.0
MHL,2015,3764.34426229508,48800.0
MHL,2016,3946.8444109078,47709.0
MHL,2017,4190.93468589482,46529.0
MKD,2013,4863.68088666968,1922716.0
MKD,2014,5053.75001236367,1917557.0
MKD,2015,5262.68671928674,1912430.0
MKD,2016,5429.94678358359,1906313.0
MKD,2017,5510.81862920922,1898657.0
MLI,2013,788.819448208696,17459615.0
MLI,2014,813.97566128646,18020267.0
MLI,2015,838.11986940103,18593022.0
MLI,2016,860.75307554569,19191289.0
MLI,2017,878.561348378099,19813011.0
MLT,2013,22626.4876843887,424810.0
MLT,2014,23866.0555833557,433481.0
MLT,2015,25529.6693210673,444220.0
MLT,2016,25969.4999809345,454505.0
MLT,2017,28546.6464943104,467106.0
MMR,2013,1024.69060473254,50262658.0
MMR,2014,1099.24387750099,50681634.0
MMR,2015,1166.73305546337,51089056.0
MMR,2016,1225.37913970989,51495696.0
MMR,2017,1290.5640902569,51894938.0
MNE,2013,6138.24865275199,622587.0
MNE,2014,6272.08821761355,623744.0
MNE,2015,6421.00005731419,624651.0
MNE,2016,6634.38197201003,625353.0
MNE,2017,6840.90834101224,625982.0
MNG,2013,3628.90708069575,2899011.0
MNG,2014,3830.35892049593,2963113.0
MNG,2015,3838.92126989984,3026864.0
MNG,2016,3817.91962716702,3088856.0
MNG,2017,3956.2049437134,3148917.0
MNP,2013,16015.0349164338,52758.0
MNP,2014,16869.5270385638,52178.0
MNP,2015,17665.1007493109,51514.0
MNP,2016,23158.5744988538,50773.0
MNP,2017,28989.3470221339,49959.0
MOZ,2013,559.393953685688,25051611.0
MOZ,2014,585.266716133984,25788475.0
MOZ,2015,610.563774706589,26547572.0
MOZ,2016,620.779714954555,27337105.0
MOZ,2017,618.397694360334,28166393.0
MRT,2013,1506.66419033006,3734318.0
MRT,2014,1524.45340969502,3848514.0
MRT,2015,1558.84205473416,3965959.0
MRT,2016,1531.87725661699,4086657.0
MRT,2017,1580.01453100123,4210600.0
MUS,2013,8968.51243536773,1258927.0
MUS,2014,9297.64820128968,1261208.0
MUS,2015,9630.5437837507,1262879.0
MUS,2016,9997.89198315532,1263747.0
MUS,2017,10383.8832682578,1264887.0
MWI,2013,525.357645516557,16161816.0
MWI,2014,539.562601918057,16621538.0
MWI,2015,539.605363240686,17085587.0
MWI,2016,538.221990810959,17557739.0
MWI,2017,544.795729220349,18039715.0
MYS,2013,8964.80724896203,30174265.0
MYS,2014,9341.73055971278,30696137.0
MYS,2015,9648.6797937523,31232798.0
MYS,2016,9901.47960179812,31789685.0
MYS,2017,10293.7629205362,32355644.0
