country_code,n_loans,total_loan_amount,population,population_below_poverty_line,poverty_rate,iso3,urban_rural_gap,atms_per_100k,bank_accounts_per_1000,bank_branches_per_100k,credit_private_gdp,bank_branches_per_100k_z,atms_per_100k_z,bank_accounts_per_1000_z,financial_access_index,gov_effectiveness,political_stability,rule_of_law,rule_of_law_z,gov_effectiveness_z,political_stability_z,institutional_index,institutional_pca1
AF,2337,1967950.0,35530081.0,35.8,0.358,AFG,0.2149999999999999,1.626189,178.79321,1.9176134,3.271406666666667,-0.6455752954786086,-0.7931847968412763,-0.980721072077474,-0.8064937214657864,-1.5191125869751,-2.65253973007202,-1.74210047721863,-1.6956785071842346,-1.3685018412521686,-2.3616832085167054,-1.8086211856510364,-2.080862286289141
AL,3075,4307350.0,2930187.0,14.3,0.143,ALB,0.004,30.683033,1093.3100333333332,18.949247,35.03466666666666,0.2465799517645159,-0.22110021045017106,0.9695486337033958,0.33167612500591354,-0.0623007006943226,0.11010505259037,-0.426317363977432,0.04000525965509649,0.5404159038954055,0.6763293412363715,0.4189168349289578,0.49533611711251946
AM,13952,22950475.0,2930450.0,32.0,0.32,ARM,0.0,65.05809866666667,,24.131826666666665,62.61763333333334,0.5180551227588114,0.45569198432783314,,0.4868735535433223,-0.226045966148376,-0.420024991035461,-0.177464514970779,0.36827353275109653,0.32585406111202064,0.0933583651471746,0.26249531967009726,0.27051563985938615
AZ,10172,14784625.0,9827589.0,4.9,0.049,AZE,0.026,34.15000733333334,,6.7689817,23.2668,-0.3914497202810564,-0.15284081595042484,,-0.27214526811574064,-0.128162756562233,-0.693411469459534,-0.610428035259247,-0.20285992095857203,0.4541142692354014,-0.20727802415536956,0.014658774707153266,-0.015079711775431368
BA,608,477250.0,3507017.0,17.2,0.172,BIH,0.0,57.57146725,,30.07565175,57.97266666666667,0.829406039607512,0.30829172167486213,,0.5688488806411871,-0.706423223018646,-0.424811691045761,-0.225809708237648,0.30450012943441124,-0.30360309711179373,0.08809454882360791,0.02966386038207514,0.043444284933936275
BF,3489,4085200.0,19193382.0,40.1,0.401,BFA,0.395,4.233170233333333,184.73121333333333,2.9103041,27.86123333333333,-0.5935759255007076,-0.7418573443278211,-0.968057873633934,-0.7678303811541541,-0.7781862616539,-1.30219399929047,-0.463833779096603,-0.009483620432403295,-0.3976370209056752,-0.8767412057065057,-0.4279539490148614,-0.5300958940549196
BG,296,375300.0,7084571.0,22.0,0.22,BGR,,93.03356433333333,1473.05325,56.979487666666664,50.5403,2.238689432365691,1.0064858938457961,1.7793770289223634,1.674850785044617,0.173703476786613,0.561284422874451,-0.0374133922159672,0.5530186156199243,0.8496614328239677,1.1724802028001884,0.8583867504146934,0.9917900158387228
BI,1727,5233450.0,10864245.0,64.6,0.6459999999999999,BDI,0.272,,,,20.408133333333335,,,,,-1.37481689453125,-1.62505626678467,-1.45362734794617,-1.315146090702485,-1.1794255367214312,-1.2317849039208848,-1.2421188437816004,-1.379407877621485
BJ,5946,3865825.0,11175692.0,36.2,0.362,BEN,0.194,4.717320033333333,283.1119933333334,3.5453497666666665,16.631400000000003,-0.5603108061902691,-0.7323251790973392,-0.7582541281262826,-0.6836300378046302,-0.490367919206619,-0.420240253210068,-0.675484120845795,-0.2886770974752481,-0.020497359669630275,0.09312164662583322,-0.0720176035063484,-0.06055246643860401
BO,25250,44226725.0,11051600.0,38.6,0.386,BOL,0.172,41.57730766666666,,51.42186366666667,69.52625,1.9475685962643137,-0.006608691112727026,,0.9704799525757933,-0.790566325187683,-0.728340268135071,-1.18941926956177,-0.966622334693805,-0.4138591036524231,-0.24568836535812696,-0.542056601234785,-0.5676760706634482
BR,482,1192325.0,209288278.0,3.7,0.037,BRA,0.038,101.94881233333332,663.9101499999999,18.520970000000002,64.33703333333334,0.22414583993489423,1.1820134206705992,0.05382399883180931,0.48666108647910084,-0.234114676713943,-0.714224636554718,-0.224319815635681,0.30646548556153014,0.315281313234192,-0.2301657523324031,0.130527015487773,0.09946689400360192
BT,2,20000.0,807610.0,13.3,0.133,BTN,0.14,46.011880000000005,,18.8505875,64.68496666666667,0.24141194541335864,0.08070122042262222,,0.16105658291799044,0.253064602613449,1.06547141075134,0.584506988525391,1.3734099842705376,0.9536514282327082,1.7269222382746336,1.3513278835926263,1.5508858378612786
BW,1,8000.0,2291661.0,30.3,0.303,BWA,,45.509122999999995,781.1284766666666,9.2223758,36.93063333333333,-0.26293542322206365,0.07080270803083465,0.30380010165195465,0.03722246215357522,0.375831961631775,1.09532988071442,0.432969272136688,1.1735126366355864,1.1145183132176222,1.7597568636428809,1.3492626044986966,1.5511460421923764
