country_code_x,kiva_year,n_loans,total_loan_amount,country_code_y,poverty_rate,poverty_year_matched,country_code,year
JO,2013.0,116,114550.0,JO,,,,
JO,2014.0,1343,1473700.0,JO,,,,
JO,2015.0,1084,1224175.0,JO,,,,
JO,2016.0,1065,1244350.0,JO,,,,
JO,2017.0,559,615375.0,JO,,,,
KE,2013.0,428,179725.0,KE,,,,
KE,2014.0,17611,8263400.0,KE,,,,
KE,2015.0,23559,10257725.0,KE,37.7,,,
KE,2016.0,20512,9629650.0,KE,,,,
KE,2017.0,13334,6113425.0,KE,,,,
KG,2013.0,26,36550.0,KG,13.5,,,
KG,2014.0,1642,2298075.0,KG,8.1,,,
KG,2015.0,2211,2699650.0,KG,11.0,,,
KG,2016.0,1381,1493675.0,KG,8.0,,,
KG,2017.0,514,624350.0,KG,8.2,,,
KH,2013.0,343,288950.0,KH,,,,
KH,2014.0,6259,4348000.0,KH,,,,
KH,2015.0,7554,5061100.0,KH,,,,
KH,2016.0,11593,5421775.0,KH,,,,
KH,2017.0,9087,4752875.0,KH,,,,
LA,2014.0,158,219725.0,LA,,,,
LA,2015.0,648,512550.0,LA,,,,
LA,2016.0,330,248400.0,LA,,,,
LA,2017.0,350,180825.0,LA,,,,
LB,2013.0,5,7150.0,LB,,,,
LB,2014.0,1330,1956250.0,LB,,,,
LB,2015.0,2661,3661875.0,LB,,,,
LB,2016.0,3138,4168425.0,LB,,,,
LB,2017.0,1658,2365100.0,LB,,,,
LR,2013.0,208,46725.0,LR,,,,
LR,2014.0,1848,492700.0,LR,31.7,,,
LR,2015.0,34,13150.0,LR,,,,
LR,2016.0,460,193975.0,LR,33.6,,,
LR,2017.0,1132,451275.0,LR,,,,
LS,2015.0,32,29300.0,LS,,,,
LS,2016.0,227,200350.0,LS,,,,
LS,2017.0,163,129875.0,LS,41.9,,,
MD,2014.0,4,11300.0,MD,0.0,,,
MD,2015.0,66,140625.0,MD,0.1,,,
MD,2016.0,183,341400.0,MD,0.2,,,
MD,2017.0,95,225400.0,MD,0.1,,,
MG,2015.0,1001,329100.0,MG,,,,
MG,2016.0,1865,629375.0,MG,,,,
MG,2017.0,955,277550.0,MG,,,,
ML,2013.0,92,76450.0,ML,,,,
ML,2014.0,2935,3238475.0,ML,,,,
ML,2015.0,1566,2076925.0,ML,,,,
ML,2016.0,1597,2363875.0,ML,,,,
ML,2017.0,449,1230975.0,ML,,,,
MM,2014.0,77,529475.0,MM,,,,
MM,2015.0,163,670400.0,MM,18.2,,,
MM,2016.0,740,1200875.0,MM,,,,
MM,2017.0,890,841550.0,MM,10.3,,,
MN,2013.0,61,92525.0,MN,,,,
MN,2014.0,707,1207875.0,MN,0.8,,,
MN,2015.0,196,344900.0,MN,,,,
MR,2014.0,1,15000.0,MR,11.7,,,
MW,2014.0,83,131975.0,MW,,,,
MW,2015.0,354,548700.0,MW,,,,
MW,2016.0,533,471525.0,MW,71.7,,,
MW,2017.0,350,481125.0,MW,,,,
MX,2013.0,9,17375.0,MX,,,,
MX,2014.0,1038,1791050.0,MX,7.2,,,
MX,2015.0,1922,3644925.0,MX,,,,
MX,2016.0,2147,3831175.0,MX,4.4,,,
MX,2017.0,625,426475.0,MX,,,,
MZ,2014.0,593,445675.0,MZ,74.4,,,
MZ,2015.0,997,664425.0,MZ,,,,
MZ,2016.0,1224,599500.0,MZ,,,,
MZ,2017.0,669,362275.0,MZ,,,,
NG,2014.0,3017,428875.0,NG,,,,
NG,2015.0,2738,550025.0,NG,35.8,,,
NG,2016.0,3069,912075.0,NG,,,,
NG,2017.0,1312,314575.0,NG,,,,
NI,2013.0,165,151500.0,NI,,,,
NI,2014.0,4758,3934700.0,NI,6.6,,,
NI,2015.0,2877,2799000.0,NI,,,,
NI,2016.0,2442,2315225.0,NI,,,,
NI,2017.0,1539,1401525.0,NI,,,,
NP,2013.0,4,1275.0,NP,,,,
NP,2014.0,97,53800.0,NP,,,,
NP,2015.0,209,101225.0,NP,,,,
NP,2016.0,295,104775.0,NP,,,,
NP,2017.0,112,46550.0,NP,,,,
