country_code,year,n_loans,total_loan_amount,log_total_loan_amount,log_gdp_pc,population,log_population,institutional_pca1,institutional_index,financial_access_index,poverty_rate
AF,2015,1,6000.0,8.699514748210191,6.337833595485375,35530081.0,17.38589024775819,-2.080862286289141,-1.8086211856510364,-0.8064937214657864,
AF,2016,1,8000.0,8.987196820661973,6.334827872548524,35530081.0,17.38589024775819,-2.080862286289141,-1.8086211856510364,-0.8064937214657864,
AL,2013,3,5850.0,8.674196940225903,8.267679934508259,2930187.0,14.890576801482277,0.4953361171125194,0.4189168349289578,0.3316761250059135,
AL,2014,603,902550.0,13.712979369316608,8.305266334335277,2930187.0,14.890576801482277,0.4953361171125194,0.4189168349289578,0.3316761250059135,3.7
AL,2015,638,844375.0,13.646351987696601,8.342730067120554,2930187.0,14.890576801482277,0.4953361171125194,0.4189168349289578,0.3316761250059135,1.1
AL,2016,475,639025.0,13.367698856225035,8.396506123719536,2930187.0,14.890576801482277,0.4953361171125194,0.4189168349289578,0.3316761250059135,1.1
AL,2017,215,274700.0,12.523434872083365,8.44424195018346,2930187.0,14.890576801482277,0.4953361171125194,0.4189168349289578,0.3316761250059135,1.4
AM,2013,79,131725.0,11.788471695077487,8.091412766588741,2930450.0,14.89066655281824,0.2705156398593861,0.2624953196700972,0.4868735535433223,2.9
AM,2014,1968,3280025.0,15.0033616022825,8.129497033280357,2930450.0,14.89066655281824,0.2705156398593861,0.2624953196700972,0.4868735535433223,3.4
AM,2015,2534,3519825.0,15.073921830429311,8.164052993685441,2930450.0,14.89066655281824,0.2705156398593861,0.2624953196700972,0.4868735535433223,2.9
AM,2016,2902,4357525.0,15.287414793594508,8.170153121527093,2930450.0,14.89066655281824,0.2705156398593861,0.2624953196700972,0.4868735535433223,2.5
AM,2017,1148,1626300.0,14.30181805391654,8.246794167624104,2930450.0,14.89066655281824,0.2705156398593861,0.2624953196700972,0.4868735535433223,2.4
AZ,2013,12,22400.0,10.01681623784313,8.598956681903726,9827589.0,16.100704192456938,-0.0150797117754313,0.0146587747071532,-0.2721452681157406,
