country_code,year,n_loans,total_loan_amount,gdp_pc_const2015,log_gdp_pc
VN,2014,2885,3738575.0,2439.2865574442344,7.799460881041576
VN,2015,2952,4625300.0,2577.568853401125,7.854601928784032
VN,2016,3138,4521525.0,2715.57887431272,7.906760423016145
VN,2017,1766,1915200.0,2868.1368001337887,7.961417899373378
VU,2014,4,9250.0,2807.8342295675866,7.940168728348786
WS,2013,122,77075.0,3976.392892681315,8.288130378961208
WS,2014,1927,1714900.0,3967.2373047067945,8.285825238414338
WS,2015,1754,1380550.0,4084.3608381993263,8.31492052949501
WS,2016,2494,2221300.0,4373.237924403915,8.383258957525818
WS,2017,1099,897750.0,4393.373162559647,8.387852585180294
XK,2013,2,4525.0,,
XK,2014,517,762100.0,,
XK,2015,264,356625.0,,
XK,2016,402,518750.0,,
XK,2017,234,305750.0,,
YE,2013,66,55625.0,2014.7289059487007,7.608239927339016
YE,2014,1642,1409825.0,1950.162545058899,7.575668004524299
YE,2015,254,224900.0,1362.1738120601008,7.216837093883102
YE,2016,179,83100.0,1197.9586597117175,7.088374270326831
YE,2017,172,106500.0,1103.4563484984167,7.0062026675953195
ZA,2014,52,90525.0,6155.005894625161,8.725020996315116
ZA,2015,192,254675.0,6112.273824859742,8.718054131030598
ZA,2016,113,190475.0,6095.295060428005,8.715272450986129
ZA,2017,21,38350.0,6125.6920507497025,8.72024701690778
ZM,2014,188,238850.0,1299.0124176250413,7.169359575997535
ZM,2015,213,436350.0,1295.877886800678,7.166943649325315
ZM,2016,218,346775.0,1303.5751386913284,7.172865875510704
ZM,2017,165,188700.0,1308.7682924008554,7.176841739088678
ZW,2013,5,12650.0,1367.8183168946343,7.220972280075014
ZW,2014,2073,1302175.0,1381.2540412587148,7.230747091059947
ZW,2015,600,723625.0,1387.1263259502578,7.234989494718447
ZW,2016,808,788600.0,1378.3425619237385,7.228637014237936
ZW,2017,548,620350.0,1422.9194894692664,7.2604660184634415
