poverty_tercile,n_countries,total_loans,mean_loans_per_capita,mean_loan_amount_per_capita,median_loans_per_capita,median_loan_amount_per_capita
High poverty,29,346100,0.0007537012872821321,0.7394476425025395,0.0002901485175336122,0.354017482497176
Low poverty,29,545281,0.0007729595199645234,0.9396894908019956,5.575870899361539e-05,0.14378091365108503
Medium poverty,28,497125,0.0015547049702584934,1.5145168877190014,0.0004821471751957397,0.41359354774317253
