poverty_tercile,Z_split,n_countries,total_loans,mean_loans_per_capita,mean_loan_amount_per_capita,median_loans_per_capita,median_loan_amount_per_capita
High poverty,High-Z,22,306549,0.0008677729423824138,0.8174186175868104,0.00021468279966678565,0.3817285408265769
High poverty,Low-Z,6,39550,0.00046103523395294186,0.5757853821850295,0.000490538402323423,0.31602665113149253
Low poverty,High-Z,5,142447,0.0012640333985724844,0.8678281811740668,0.0002563369766817922,0.18733887806642016
Low poverty,Low-Z,13,353777,0.0007409325798524239,0.8327535258701239,0.00018068666858214283,0.2583304724264398
Medium poverty,High-Z,8,110072,0.00035085757934942216,0.2896652449878815,0.00025505983306753203,0.22676095149559874
Medium poverty,Low-Z,15,364586,0.0024148023379833706,2.2573732359634686,0.0016330157137557668,1.2940354343902747
